"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"充值接口测试","1032","test_api_recharge[chinapnrTrust-500-reForm-8888-200]","scripts","Tue Aug 25 02:48:54 UTC 2026","passed","Tue Aug 25 02:48:55 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","1386","test_api_register[18800002008-Aa123456-8888-666666-100]","scripts","Tue Aug 25 02:48:12 UTC 2026","failed","Tue Aug 25 02:48:13 UTC 2026","TestAPIRegister","test_api_01_register","",""
"投资接口测试","906","test_api_tender[1-cert001-999999999-100]","scripts","Tue Aug 25 02:49:02 UTC 2026","passed","Tue Aug 25 02:49:03 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"投资接口测试","868","test_api_tender[1-cert001--100]","scripts","Tue Aug 25 02:49:00 UTC 2026","passed","Tue Aug 25 02:49:01 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","851","test_api_approve_realname[\u5f20\u4e09-11010119900101123-100]","scripts","Tue Aug 25 02:48:32 UTC 2026","passed","Tue Aug 25 02:48:33 UTC 2026","TestAPIAccount","test_api_03_account","",""
"实名认证测试","893","test_api_approve_realname[\u674e\u56db-11010119900101123X-100]","scripts","Tue Aug 25 02:48:34 UTC 2026","passed","Tue Aug 25 02:48:35 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","967","test_api_tender[3-cert003-200-100]","scripts","Tue Aug 25 02:49:08 UTC 2026","passed","Tue Aug 25 02:49:09 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","346","test_api_login[123-Aa123456-100]","scripts","Tue Aug 25 02:48:23 UTC 2026","passed","Tue Aug 25 02:48:23 UTC 2026","TestAPILogin","test_api_02_login","",""
"注册接口测试","695","test_api_register[18800009000-Aa123456-8888--100]","scripts","Tue Aug 25 02:48:19 UTC 2026","passed","Tue Aug 25 02:48:20 UTC 2026","TestAPIRegister","test_api_01_register","",""
"登录接口测试","390","test_api_login[18800002008-Aa123456789-100]","scripts","Tue Aug 25 02:48:24 UTC 2026","passed","Tue Aug 25 02:48:24 UTC 2026","TestAPILogin","test_api_02_login","",""
"注册接口测试","711","test_api_register[18800004000-Aa123456-9999-666666-100]","scripts","Tue Aug 25 02:48:14 UTC 2026","passed","Tue Aug 25 02:48:15 UTC 2026","TestAPIRegister","test_api_01_register","",""
"获取认证信息测试","857","test_api_get_approve","scripts","Tue Aug 25 02:48:40 UTC 2026","passed","Tue Aug 25 02:48:41 UTC 2026","TestAPIAccount","test_api_03_account","",""
